id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,Bulgaria,Country,BGR,"Population ages 0-14, total",SP.POP.0014.TO,2060355,2052215,2038268,2020703,2002929,1987921,1975839,1965796,1964334,1972584,1979004,1980481,1979966,1983503,1996610,2006994,2013115,2021016,2018501,2012675,2010696,2005884,1999607,1985574,1963558,1938522,1917344,1903334,1886815,1837789,1773291,1721094,1663776,1610768,1563864,1514172,1465646,1415685,1364000,1317411,1276729,1218101,1158875,1118692,1082269,1052294,1031275,1019280,1013221,1013046,1016599,1019030,1022358,1025523,1021726,1012870,1004658,997805,990275,980935,972082,962521,904849
23,Bahrain,Country,BHR,"Population ages 0-14, total",SP.POP.0014.TO,69197,72440,75773,79224,82774,86372,89854,92972,95700,98082,100135,102609,105706,108683,111451,114143,116902,119837,122976,126312,129789,133237,136559,139966,143687,147792,152319,157315,162815,168784,175009,181408,187297,192056,195979,199272,201937,203896,205401,206818,208267,209581,210282,211839,216080,221617,227234,233193,239241,244397,248194,249110,246782,251068,265377,277458,284642,291268,296414,299858,299911,298172,297195
24,"Bahamas, The",Country,BHS,"Population ages 0-14, total",SP.POP.0014.TO,47294,49881,52618,55396,58097,60815,63828,67215,70887,74402,76681,77908,78989,79872,80425,80529,80317,79985,79539,79031,78542,78390,78619,79023,79790,80869,81947,82933,83908,85019,86058,87113,88705,90720,92467,93781,94850,95786,96651,97119,97156,97048,97070,97234,97349,97470,97671,97856,98115,98672,98538,97387,96117,94532,92898,91398,89672,87804,85888,83942,81971,80042,78154
25,Bosnia and Herzegovina,Country,BIH,"Population ages 0-14, total",SP.POP.0014.TO,1266117,1296257,1321166,1340098,1353824,1362682,1366491,1364855,1358008,1347374,1334470,1320942,1307607,1293373,1277226,1259577,1240687,1220806,1200555,1180977,1163604,1150483,1142105,1136753,1132453,1127547,1120950,1112650,1103277,1092521,1079861,1066420,1029092,978190,938453,912270,901395,889644,870784,846770,820173,792980,766065,738950,710806,683964,660033,640441,627866,618355,607042,592032,574424,557358,543159,531982,522937,515306,508610,502109,495240,488002,480802
26,Belarus,Country,BLR,"Population ages 0-14, total",SP.POP.0014.TO,2547598,2606825,2653112,2681051,2689459,2686577,2678976,2666135,2647207,2620354,2586460,2548999,2508091,2462296,2413273,2361866,2310774,2266800,2234472,2215243,2209615,2215237,2227934,2248101,2271684,2293075,2315479,2336943,2348102,2357270,2357135,2345634,2330275,2306067,2264147,2209554,2148220,2077848,2000768,1923650,1847901,1768816,1688187,1612007,1543252,1486400,1443469,1414989,1401291,1403069,1415457,1433247,1457458,1485669,1513909,1540901,1564612,1579378,1583721,1583707,1579559,1566586,1548087
27,Belize,Country,BLZ,"Population ages 0-14, total",SP.POP.0014.TO,41118,42652,44298,46122,48095,50149,52265,54395,56483,58369,59653,60469,61209,61886,62519,63207,63968,64702,65449,66301,67342,68373,69365,70539,71954,73508,75013,76448,77859,79255,80602,81989,83306,84456,85597,86910,88480,90288,92220,94131,95989,97969,100129,102304,104466,106572,108552,110392,112075,113529,114188,114233,114324,114393,114400,114344,114271,114270,114409,114282,113644,112952,112419
28,Bermuda,Territory,BMU,"Population ages 0-14, total",SP.POP.0014.TO,14780,15068,15262,15411,15591,15780,15887,16026,16131,16197,16203,15748,15265,14752,14231,13718,13376,13048,12728,12413,12284,12100,11952,11838,11733,11629,11533,11460,11438,11455,11515,11467,11426,11531,11637,11720,11765,11772,11758,11708,11693,11680,11592,11497,11389,11257,11104,10958,10854,10774,10568,10369,10283,10170,10024,9854,9625,9501,9526,9540,9539,9500,9343
29,Bolivia,Country,BOL,"Population ages 0-14, total",SP.POP.0014.TO,1512657,1544487,1577255,1612478,1650673,1690157,1730235,1771396,1813574,1856585,1900254,1944656,1989605,2034422,2079477,2125208,2171766,2219479,2268131,2317492,2367400,2417743,2468188,2518393,2568719,2619795,2671603,2724373,2777896,2831347,2884735,2937396,2988270,3034342,3075723,3115741,3155191,3193545,3230939,3268390,3303938,3337375,3368537,3396329,3421506,3444523,3467894,3491953,3515266,3538656,3562369,3585505,3608260,3630272,3649875,3667911,3685958,3703522,3719627,3734391,3748198,3759372,3768393
30,Brazil,Country,BRA,"Population ages 0-14, total",SP.POP.0014.TO,32224839,33321079,34395220,35435890,36407238,37312928,38173967,38980547,39730141,40432241,41103803,41748422,42366419,42963796,43529620,44071979,44614216,45165503,45735576,46334986,46980237,47673269,48403537,49158863,49907266,50613348,51257326,51835316,52335309,52761160,53108144,53351650,53486667,53536729,53526371,53462769,53345365,53178112,52979710,52744598,52470191,52170303,51833209,51445502,51052131,50686613,50322183,49942930,49528437,49077874,48606841,48123831,47621247,47088031,46588376,46162722,45739960,45345189,45059349,44781759,44418962,44024037,43646865
31,Barbados,Country,BRB,"Population ages 0-14, total",SP.POP.0014.TO,87373,88383,89625,90580,91354,91789,91775,91450,90813,89864,88630,87162,85518,83737,81835,79820,77750,75758,73984,72458,71093,69880,68891,68121,67503,66924,66255,65433,64474,63489,62554,61739,61129,60665,60268,59919,59585,59174,58687,58301,57913,57478,57176,56940,56611,56125,55570,55159,55125,55271,55184,54845,54372,53788,53096,52289,51441,50655,49959,49326,48765,48260,47667
